标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市国土资源局更正公告,本站原创,2015-12-17 15:08:18 ,,〔2015〕47号土地,,,,更正为15635万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712158.jhtml,0a81c5ab32e0ee34524de181f3127a29,
郑州市国土资源局挂牌出让结果公示〔2015年12月3日至2015年12月17日〕,本站原创,2015-12-19 10:13:28 ,,〔2015〕106号土地,孙庄北路北、站前西路东,12761.18平方米,郑州华瑞紫商置业有限公司,12315万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712161.jhtml,5089d69bdab2d901002784f9fe572453,
2014年11月-2015划拨结果,本站原创,2015-12-19 15:42:08 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712168.jhtml,95e0a78540315b7f79962d18ff8cdd45,
郑州市国土资源局挂牌出让结果公示〔2015年12月14日至2015年12月25日〕,本站原创,2015-12-29 10:18:34 ,,〔2015〕111号（网）土地,郑航南路北、淮南街西,12761.18平方米,河南省锦美置业有限公司,9540万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712186.jhtml,942f707841eea429ab1b46f599cc6221,
郑州市国土资源局挂牌出让结果公示〔2015年12月16日至2015年12月30日〕,本站原创,2015-12-31 10:15:00 ,,〔2015〕108号土地,金宝路北、景泰路西,123674.83平方米,河南杨金科技外包产业园建设投资有限公司,38043万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712189.jhtml,0bfd4073925e614edaa973a101247ca5,
郑州市国土资源局挂牌出让结果公示[2015年1月5日至2015年1月16日],本站原创,2015-03-04 16:32:04 ,,〔2014〕154号（网）土地,月季街南、垂柳路西,88000.47平方米,恒大地产集团郑州有限公司,96133万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1711958.jhtml,a1ee7dba8d1aff0ee482fdc7bc3747bc,
郑州市国土资源局挂牌出让结果公示[2013年6月13日至2013年6月27日],本站原创,2015-01-13 14:32:57 ,,〔2013〕50号土地,鸿业路北、鸿苑路东,51195.71平方米,河南鸿宝置业有限公司,21675万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714569.jhtml,1471834f3ac5301f5104af01e7688930,
郑州市国有土地使用权协议出让成交公示,本站原创,2015-01-13 14:32:57 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714492.jhtml,486e8a9cc8d21e3135b8d7ca55306dc6,
郑州市国土资源局挂牌出让结果公示[2012年9月14日至2012年9月27日],本站原创,2015-01-13 14:32:57 ,,〔2012〕46号土地,姚庄南路南、文德路西,26217.48平方米,河南国香茶城管理有限公司,4641万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714499.jhtml,e664c73e71fa37ddf3f6214c56c135f4,
郑州市国土资源局挂牌出让结果公示[2012年10月16日至2012年10月31日],本站原创,2015-01-13 14:32:57 ,,〔2012〕72号土地,科学大道南、黄栌路西,68469.42平方米,郑州赛微云计算产业园发展有限公司,8840万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714506.jhtml,2032cfc391a28c5dfaafa554257bc829,
郑州市国土资源局挂牌出让结果公示[2012年11月2日至2012年11月15日],本站原创,2015-01-13 14:32:57 ,,〔2012〕78号土地,鼎盛大道南、望桥街西,26123.11平方米,郑州地产集团都市开发有限公司,13959万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714513.jhtml,a5cbad7e9f6828c6521be6721b7bae07,
郑州市国土资源局挂牌出让结果公示[2012年11月19日至2012年12月5日],本站原创,2015-01-13 14:32:57 ,,〔2012〕91号土地,满星路北、郑少高速辅道西,60742.55平方米,河南花花牛生物科技有限公司,3007万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714520.jhtml,503fe7bfb70fff202ebcf1b41ccc1d3d,
郑州市国土资源局挂牌出让结果公示[2012年12月7日至2012年12月21日],本站原创,2015-01-13 14:32:57 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714527.jhtml,956af8774751564d5908f6f8cd26795c,
郑州市国土资源局挂牌出让结果公示[2013年1月4日至2013年1月17日],本站原创,2015-01-13 14:32:57 ,,〔2012〕109号土地,梧桐街南、石楠路东,100296.61平方米,郑州高新区枫杨管区大谢村村民委员会,15206万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714541.jhtml,2a4de5d0480f6410fc754e6d35542279,
郑州市国土资源局挂牌出让结果公示[2013年1月25日至2013年2月7日],本站原创,2015-01-13 14:32:57 ,,〔2013〕1号土地,冉屯北路南、、桐柏路东,40695.30平方米,郑州元发置业有限公司,21361万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714548.jhtml,06a43eecd328883e82627a3d1b9f34fa,
郑州市国土资源局挂牌出让结果公示[2013年4月22日至2013年5月8日],本站原创,2015-01-13 14:32:57 ,,〔2013〕20号土地,须水河东路东、锦和北街北,25000.89平方米,河南花花牛生物科技有限公司,16937万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714555.jhtml,740d044ca941bd03d3d6fa8e4ff783d2,
郑州市国土资源局挂牌出让结果公示[2013年5月17日至2013年5月31日],本站原创,2015-01-13 14:32:57 ,,〔2013〕32号土地,双铁路南、地泰路东,11154.88平方米,郑州市二七区嵩山路街道办事处刘砦社区,10676万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714562.jhtml,f5a40ae4474f97ef721c82d25d3792a7,
郑州市国土资源局挂牌出让结果公示[2013年7月1日至2013年7月12日],本站原创,2015-01-13 14:32:57 ,,〔2013〕63号土地,紫辰路东、刘庄南街南,7116.73平方米,河南小皇后置业有限公司,5729万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714576.jhtml,f7229a9acff8c3384e13b90383ccfd51,
郑州市国土资源局挂牌出让结果公示[2013年11月13日至2013年11月27日],本站原创,2015-01-13 14:32:57 ,,〔2013〕105号土地,金梭路东、玉兰街北,45405.86平方米,河南正弘高新实业有限公司,27780万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714583.jhtml,4ecb6c511e9dddfbeb10fc306dc68a13,
郑州市国有土地使用权出让意向公示（郑州海洋科普有限公司）,本站原创,2015-01-13 14:32:57 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714590.jhtml,43a1cade78ae77baf7af49067904b363,
郑州市自然资源和规划局挂牌出让结果公示〔2019年5月14日至2019年5月30日〕,本站,2019-06-05 16:30:47 ,2019年5月14日至2019年5月30日,〔2019〕36号（网）土地,兴隆铺路南、粮食西路西,42538.29平方米,郑州天地新城实业有限公司,44523万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1790579.jhtml,ecf94d990158a813d83e035e51a231f0,
郑州市国土资源局挂牌出让结果公示〔2018年9月7日至2018年9月21日〕,本站,2018-09-26 14:29:08 ,2018年9月7日至2018年9月21日,〔2018〕109号（网）土地,辅道南路南、站前大道西,33930.88平方米,郑州融亮春房地产开发有限公司,27376万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739290.jhtml,e8792f5c18c80842d01e1e337d324fa4,
郑州市国土资源局挂牌出让结果公示〔2018年12月24日至2019年1月16日〕,本站,2019-01-18 09:33:51 ,2018年12月24日至2019年1月16日,〔2018〕165号（网）土地,经南十五路以北、经开第十五大街以东,28240.79平方米,河南鸿宝集团有限公司、河南鸿宝置地有限公司,142298万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745908.jhtml,b34c3895db21c2370e71a67bb124c5a3,
郑州市国土资源局挂牌出让结果公示〔2019年1月2日至2019年1月16日〕,本站,2019-01-22 09:34:27 ,2019年1月2日至2019年1月16日,〔2018〕178号（网）土地,二里岗南街北、未来路西,28492.52平方米,河南融创晟元置业有限公司,10352万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745915.jhtml,a44c67e370a2dcdfb88be8dfeab0bab6,
郑州市国土资源局挂牌出让结果公示〔2019年1月8日至2019年1月31日〕,本站,2019-02-01 09:34:58 ,2019年1月8日至2019年1月31日,〔2018〕183号（网）土地,三全路南、园田北路东,64596.08平方米,河南瀚宇天悦城置业有限公司,100775万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745922.jhtml,1111ae22fc1a8c29bea4c9328e27b36a,
郑州市国土资源局挂牌出让结果公示〔2019年1月31日至2019年2月22日〕,本站,2019-02-27 09:26:44 ,,〔2019〕3号（网）土地,科学大道北、金柏路西,109305.29平方米,郑州郑锅电气科技有限公司,64871万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745873.jhtml,667c0aeb3c81cb5821a26962f1e5f12d,
郑州市国土资源局挂牌出让结果公示〔2019年2月11日至2019年2月26日〕,本站,2019-03-05 08:44:12 ,,〔2019〕4号（网）土地,中原西路北辅道北、中州路西,35576.11平方米,郑州华侨城文化旅游开发有限公司,57125万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1748218.jhtml,c2889316d5d93ec64d82f529bd22b466,
郑州市国土资源局挂牌出让结果公示〔2019年2月18日至2019年3月11日〕,本站,2019-03-18 08:45:11 ,,〔2019〕10号（网）土地,林荫南路东、同欣路南,34626.81平方米,郑州高屋置业有限公司,31623万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1748222.jhtml,5dc7eec40c108bb490936415155008b4,
郑州市国土资源局挂牌出让结果公示〔2019年3月5日至2019年3月29日〕,本站,2019-03-30 14:40:05 ,2019年3月5日至2019年3月29日,〔2019〕15号（网）土地,郑港辅路西、鸿宝路北,48749.36平方米,郑州市二七新区建设投资开发有限公司,106652万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1771801.jhtml,fa1ef5e1e09a5d5181baebfaa6c10eb9,
郑州市国土资源局挂牌出让结果公示〔2019年3月21日至2019年4月11日〕,本站,2019-04-13 14:40:46 ,2019年3月21日至2019年4月11日,〔2019〕22号（网）土地,颍河西路南、石羊路东,29662.29平方米,郑州中贯新城置业有限公司,32133万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1771808.jhtml,d9a8cea430673ac90fd7d5e293384da2,
郑州市国土资源局挂牌出让结果公示〔2019年3月29日至2019年4月17日〕,本站,2019-04-24 16:29:29 ,2019年3月29日至2019年4月17日,〔2019〕29号（网）土地,郑少高速辅道南、景西一路东,88590.39平方米,河南省天伦乐居置业有限公司,83716万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1790565.jhtml,362b274a02c823c1b679771f5f82f73c,
郑州市国土资源局挂牌出让结果公示〔2019年4月9日至2019年4月23日〕,本站,2019-04-30 16:30:12 ,2019年4月9日至2019年4月23日,〔2019〕34号（网）土地,刘湾北路南、兴业路东,30711.58平方米,河南绿地商城置业有限公司,48457万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1790575.jhtml,65f1295a3b902dee0821b5997dcbc67e,
