标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市自然资源和规划局挂牌出让结果公示（2019年10月8日至2019年10月21日）,本站,2019-10-24 14:58:45 ,,〔2019〕78号（网）土地,经一路东、明鸿路南,15094.79平方米,河南常绿卓屹置业有限公司,29924万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1890647.jhtml,d554d5c02cd0f373934b0946009a3a5e,
郑州市自然资源和规划局挂牌出让结果公示（2019年11月28日至2019年12月20日）,本站,2019-12-24 14:59:28 ,2019年11月28日至2019年12月20日,〔2019〕80号（网）土地,经南十三路以南、经开第十七大街以东,120278.23平方米,河南惠花城乡建设发展有限公司,147604万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1890651.jhtml,e42f7f0dff184f6f492be1d44b23d265,
郑州市自然资源和规划局挂牌出让结果公示（2019年12月31日至2020年1月19日）,本站,2020-02-04 13:01:06 ,2019年12月31日至2020年1月19日,〔2019〕91号（网）土地,杓袁中一街西、杓袁北路南,81208.12平方米,郑州市二七城乡更新建设开发有限公司,105142万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1902266.jhtml,d237b079bb2171b9797de88a4bed4a15,
郑州市自然资源和规划局挂牌出让结果公示（2020年1月16日至2020年2月17日）,本站,2020-02-21 13:01:57 ,2020年1月16日至2020年2月17日,〔2020〕1号（网）土地,北岗路南、支八路西,28880.66平方米,郑州名兴置业有限公司,42717万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1902273.jhtml,1014c829ff4980a92fc98723a579bb8a,
郑州市国土资源局挂牌出让结果公示〔2018年7月11日至2018年7月26日〕,本站,2018-07-28 14:20:05 ,2018年7月11日至2018年7月26日,〔2018〕91号（网）土地,二里岗南街南、未来路西,48705.73平方米,郑州兴和置业有限公司,36715万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739202.jhtml,901d552c0bd96744f1ea8a1b4830ac42,
郑州市国土资源局挂牌出让结果公示〔2018年3月13日至2018年3月26日〕,本站,2018-03-29 09:32:47 ,2018年3月13日至2018年3月26日,〔2018〕34号（网）土地,高铁南路南、青铜西路西,13107.46平方米,郑州昌之盛置业有限公司,13133万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727946.jhtml,aa824731fbd470705c3941b89a5c3a4a,
郑州市国土资源局挂牌出让结果公示〔2018年1月12日至2018年1月25日〕,本站,2018-01-31 09:24:33 ,2018年1月12日至2018年1月25日,〔2017〕98号（网）土地,开元路南、田园路西,14904.46平方米,河南建业恒新置业有限公司,12122万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727910.jhtml,64390ce0c94450e791ddacab9eb96e24,
郑州市国土资源局挂牌出让结果公示〔2018年1月19日至2018年2月1日〕,本站,2018-02-06 09:25:31 ,2018年1月19日至2018年2月1日,〔2017〕100号（网）土地,商城路南、职工路东,30473.85平方米,郑州商都控股集团有限公司,32604万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727911.jhtml,f06236ea0d16df73a08f6a6d60767828,
郑州市国土资源局挂牌出让结果公示〔2018年1月19日至2018年2月1日〕,本站,2018-02-06 09:26:25 ,2018年1月19日至2018年2月1日,〔2017〕105号（网）土地,站马屯路北、霞飞东路西,13650.42平方米,郑州高新碧桂园房地产开发有限公司,10649万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727917.jhtml,a4fe6ee7b985c2f031c95357dca564c5,
郑州市国土资源局挂牌出让结果公示〔2018年1月19日至2018年2月2日〕,本站,2018-02-06 09:27:08 ,2018年1月19日至2018年2月2日,〔2017〕100号（网）土地,金盏街北、西四环辅道西,103815.64平方米,中国石化润滑油有限公司郑州分公司,32604万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727918.jhtml,a8a9bec593f78338cc0295bc65e7b8fa,
郑州市国土资源局挂牌出让结果公示〔2018年2月13日至2018年3月2日〕,本站,2018-03-03 09:28:59 ,2018年2月13日至2018年3月2日,〔2018〕1号土地,雪梅街北、红杉路东,16666.88平方米,郑州捷安高科股份有限公司,1271万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727924.jhtml,55dac3ee56c42937e4d6ec0790651402,
