标题,公告编号,地块编号,地块名称,容积率,用地性质,规划面积,实际岀让面积,公告发布时间,保证金金额,挂牌起始价,竟争保障房建设资金起始价,最高限价,加价幅度,报名开始时时间,报名截至时间,报价截至时间,保证金截至时间,限时竟价开始时间,最新报价,最近报价时间,竟得者,竟得价,报价轮次,报价人,金额报价,单位地价,报价时间,爬取地址url,唯一标识,
NO.2020G08(已成交),2020年宁出第03号,NO.2020G08,江宁区江宁街道纬二路以北、规划道路以东地块,≤2,R2二类居住用地,25547.80㎡,25547.80㎡,2020/03/26,8000.0000万元,40000万元,---,58000万元,500万元,2020/04/20 09:00,2020/04/28 16:00,2020/04/28 18:00,2020/04/28 16:00,2020/04/29 11:00,58000万元,2020/4/29 12:07:33,南京三石和骏置业有限公司,58000万元自持租赁住房建筑面积1200平方米,43,报价人,1200平方米,58000万元,2020/4/29 12:07:33,2020-05-09 10:10:07,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2949,2207f79704ed6bf0dbf1acc4723d19b5,
NO.2020G19(正在公告),2020年宁出第05号,NO.2020G19,江宁区谷里街道邻里大道以南、经五路以东地块,≤1.1,B1商业用地,14213.26㎡,13433.20㎡,2020/04/17,2040.0000万元,10200万元,---,不限,200万元,2020/05/09 09:00,2020/05/19 16:00,2020/05/19 18:00,2020/05/19 16:00,2020/05/20 11:20,---,---,---,---,,,,,,2020-05-09 10:10:09,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2962,d00bf46f2108cc7811f17dc0fc10a4a8,
NO.2020G20(正在公告),2020年宁出第05号,NO.2020G20,江宁区汤山温泉旅游度假区圣汤大道以北、积玉路以东地块,1.11,R2二类居住用地 B14旅馆用地 B1商业用地,122370.69㎡,122237.61㎡,2020/04/17,18480.0000万元,92400万元,---,134400万元,1000万元,2020/05/09 09:00,2020/05/19 16:00,2020/05/19 18:00,2020/05/19 16:00,2020/05/20 11:40,---,---,---,---,,,,,,2020-05-09 10:10:12,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2963,9bf3c1ecbbab4809c10061d7b4386e46,
No.宁新区2020GY02(正在公告),2020年宁新区工第02号,No.宁新区2020GY02,龙华智谷GYDX-ky-001地块,≤2.5,科教用地 （科技研发）,32631.95㎡,32631.95㎡,2020/04/23,1290.0000万元,6448万元,---,不限,130万元,2020/05/13 09:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/26 10:00,---,---,---,---,,,,,,2020-05-09 10:10:14,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2964,08253fff765022ecb0e39959b4c2de29,
No.宁新区2020GY03(正在公告),2020年宁新区工第02号,No.宁新区2020GY03,软件园21-08地块,≤3,科教用地 （科技研发）,36266.15㎡,36266.15㎡,2020/04/23,1197.0000万元,5984万元,---,不限,120万元,2020/05/13 09:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/26 10:10,---,---,---,---,,,,,,2020-05-09 10:10:17,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2965,fcd3db4123a2cd83dd0ab96f03d86411,
No.宁新区2020GY04(正在公告),2020年宁新区工第02号,No.宁新区2020GY04,软件园31-10地块,≤3.6,科教用地 （科技研发）,5217.87㎡,5217.87㎡,2020/04/23,176.0000万元,876万元,---,不限,20万元,2020/05/13 09:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/26 10:20,---,---,---,---,,,,,,2020-05-09 10:10:20,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2966,d2a4aaa997adc16c6ec4b79316f736bb,
No.宁新区2020GY05(正在公告),2020年宁新区工第02号,No.宁新区2020GY05,药谷BPV-B-02  地块,≤2,工业用地,25203.05㎡,25203.05㎡,2020/04/23,379.0000万元,1891万元,---,不限,40万元,2020/05/13 09:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/25 16:00,2020/05/26 10:30,---,---,---,---,,,,,,2020-05-09 10:10:22,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2967,129b3b034269672630a9ea38199a0c35,
NO.新区2020G03(正在公告),2020年宁新区出第02号,NO.新区2020G03,江北新区天浦路以南，新浦路以东地块,≤2.4,R2二类居住用地,36088.56㎡,36088.56㎡,2020/04/27,71000.0000万元,142000万元,---,199000万元,1000万元,2020/05/18 09:00,2020/05/26 16:00,2020/05/26 18:00,2020/05/26 16:00,2020/05/27 10:00,---,---,---,---,,,,,,2020-05-09 10:10:25,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2968,21483c4decd4033a296f47419e76c5ce,
NO.新区2020G04(正在公告),2020年宁新区出第02号,NO.新区2020G04,江北新区沿江街道学府路17-13商办地块,≤3,Bb商办混合用地,11821.37㎡,11821.37㎡,2020/04/27,2500.0000万元,12500万元,---,不限,100万元,2020/05/18 09:00,2020/05/26 16:00,2020/05/26 18:00,2020/05/26 16:00,2020/05/27 10:20,---,---,---,---,,,,,,2020-05-09 10:10:28,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2969,6f4dd40519b14880901c44e6f368b5be,
NO.新区2020G05(正在公告),2020年宁新区出第02号,NO.新区2020G05,江北新区沿江街道学府路17-21商办地块,≤3,Bb商办混合用地,21477.53㎡,21477.53㎡,2020/04/27,4520.0000万元,22600万元,---,不限,100万元,2020/05/18 09:00,2020/05/26 16:00,2020/05/26 18:00,2020/05/26 16:00,2020/05/27 10:40,---,---,---,---,,,,,,2020-05-09 10:10:31,https://jy.landnj.cn/PeopleLandInfo.aspx?LandId=2970,05e518725b78f1df17a214906c2a3898,
