文件标题,文章来源,更新时间,宗地编号,宗地坐落,面积,土地用途,出让年限,容积率,绿地率,建筑密度,建筑限高,竞买保证金,起始价,增价幅度,其他说明,爬取地址url,唯一标识,
拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/3/27 0:00,|2014-11,|慈松堂路以北，娘热路以西，曲米路以东,|14869,|居住,|70,|不大于1.2,|不小于30%,|不大于30%,,|236.4171,|788.057,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=20344,16e1f4c7f800a4be544c790e9dffaa27
拉公共国土挂〔2015〕4号拉萨市国有建设用地使用权挂牌出让公告,拉事实上公告资源交易中心,2015/5/13 0:00,|2014-7,|教育城学子梅香路以东、学海路以南,|114733(合：172.10亩),|居住用地,|70,|不大于2.4,|不小于40%,|不大于30%,,|5507 1840,|13767 9600,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=21222,57a494fb9f4a71ac241e7afecdd57440
拉公共国土挂〔2015〕3号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/5/13 0:00,|2014-6,|教育城学子路以东，318国道以北,|97976(合：146.97亩),|居住用地,|70,|不大于2.4,|不小于40%,|不大于30%,,|4702 8480,|11757，1200,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=21221,6e700b77a5fed68e4c931857cca0d542
拉公共国土挂〔2015〕15号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-7,|西藏文化旅游创意园区文成大道以东，宝瓶路以西CT03-44,|3000(合：4.5亩),|商业设施用地,|40年,|不大于1.5,|不小于15%,|不大于55%,,|126.0000,|315.0000,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23844,3263371979e441410f2469c77994d614
拉公共国土挂〔2015〕14号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-6,|西藏文化旅游创意园区文成大道以东，宝瓶路以西CT03-52,|2029(合：3.05亩),|商业设施用地,|40年,|不大于1.5,|不小于35%,|不大于40%,,|85.2180,|213.0450,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23843,1841dceee12ad0a689caedc92e0c3c24
拉公共国土挂〔2015〕13号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-5,|西藏文化旅游创意园区文成大道以东，宝瓶路以西CT03-41,|6728(合：10.1亩),|商业设施用地,|40年,|不大于1.6,|不小于15%,|不大于45%,,|282.5760,|706.4400,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23842,de79a0f3438ce0249f2cdfe6e55732aa
拉公共国土挂〔2015〕12号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-4,|西藏文化旅游创意园区文成大道以东，宝瓶路以西CT03-43,|13045(合：19.57亩),|娱乐用地,|40年,|不大于1.8,|不小于15%,|不大于55%,,|547.8900,|1369.7250,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23841,124a2341e67c131d3b78991c175d4ca5
拉公共国土挂〔2015〕11号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-3,|西藏文化旅游创意园区宝瓶路以东CT03-50,|13954(合：20.93亩),|商业设施用地,|40年,|不大于2.0,|不小于35%,|不大于35%,,|586.0680,|1465.1700,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23840,3a04fe599d4c929cbb65fc1cc3334eaf
拉公共国土挂〔2015〕9号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-13,|林聚路以东，规划支路以北（原市人民检察院）,|10050(合：15.08亩),|居住,|70年,|不大于2.0,|不小于30%,|不大于35%,,|683.8020,|1709.5050,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23838,e887282fc01365b8301fc39c452ab040
拉公共国土挂〔2015〕8号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-12,|扎基东路以南，夺底路以东,|26459(合：39.69亩),|居住,|70年,|不大于1.0——1.5,|不小于35%,|不大于30%,,|1022.3758,|2555.9394,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23837,e3a16f8772b62373a08398e1fa660f09
拉公共国土挂〔2015〕6号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-10,|娘热路北段以东，色拉北路以南（原市公安局交警支队车辆管理所）,|18098(合：27.15亩),|居住用地,|70年,|不大于1.5,|不小于30%,|不大于35%,,|238.8936,|597.2340,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23835,bea5a102397b261cdf9518939f4af148
