文件标题,文章来源,更新时间,宗地编号,宗地坐落,面积,土地用途,出让年限,容积率,绿地率,建筑密度,建筑限高,竞买保证金,起始价,增价幅度,其他说明,爬取地址url,唯一标识,
（拉公共柳梧国土挂〔2019〕1号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2019/6/4 11:22,|2018-（柳）12号|2018-（柳）13号,|柳梧新区中组团云慧路以南、栖慧大道以东|柳梧新区中组团通慧路以东、栖创路以北,,|工业用地|科研 用地,|50年|50年,|不小于1.0|不大于1.2,|不大于20%|不小于35%,|不小于30%|不大于35%,|不高于24米|不高于20米,,|19120660元|2321600元,|50万元|50万元,,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55315,54b97917af78091cab21ca4d5a2230ed
曲水县国有建设用地使用权挂牌出让公告（曲公共自然资源挂〔2019〕11号）,拉萨市公共资源交易中心,2019/10/10 16:58,|QSZR2019-11|备注,|聂当乡德吉村境内|,|26666.67,|工业,|50,|不小于1.0,|不大于20%,|不小于30%,,|340,|680.0001,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56156,89ad790515bb83c240aa898ef2c98827
拉萨市国有建设用地使用权公开出让公告 （拉公共柳梧国土挂〔2019〕3号）,拉萨市公共资源交易中心,2019/10/16 11:19,|2019-（柳）4号,|滨河大街以北、南环路以南,|40300m2,|公园配套商业用地,|商业40年,|不大于1.75,|不小于75%,|不大于13%,|不高于15米,|65769600元,|131539200元,|50万元,,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56187,279bf1451f336aa79fc87e12523d892b
曲水县国有建设用地使用权挂牌出让公告（曲公共自然资源挂〔2019〕12号）,拉萨市公共资源交易中心,2019/11/5 16:38,|QSZR2019-12|备注,|聂当乡德吉村境内|,|542.93,|工业,|50,|不大于1.0,|不低于20%,|不小于60%,,|5,|9.7727,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56296,df3bf3145c965792547767e4d8326dc0
曲水县国有建设用地使用权挂牌出让公告（曲公共自然资源挂〔2019〕13号）,拉萨市公共资源交易中心,2019/11/5 16:40,|QSZR2019-13|备注,|聂当乡德吉村境内|,|1694.67,|工业,|50,|不大于1.0,|不低于20%,|不小于60%,,|21,|43.2141,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56297,f6564606db45a16deb6657fd0cef1d09
（曲公共自然资源挂〔2019〕14号）曲水县国有建设用地使用权挂牌出让公告 ,拉萨市公共资源交易中心,2019/12/9 16:22,|QSZR2019-14|备注,|聂当乡德吉村境内|,|198154.83,|工业,|50,|不大于1.0,|不低于20%,|不小于60%,,|2526,|5052.9482,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56473,345e83cbb9723b4b42ce9b1191728637
（曲公共自然资源挂〔2019〕15号）曲水县国有建设用地使用权出让公告,拉萨市公共资源交易中心,2019/12/13 11:53,|QSZR2019-15|备注,|曲水镇曲水村境内|,|57439.53,|二级住宅,|70,|不大于1.2,|不小于30%,|不大于30%,,|1447.4762,|2067.8231,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56501,5b577f48fa63020dc40a6ca09ba52350
拉萨市国有建设用地使用权挂牌出让公告拉公共经开挂〔2019〕4号,拉萨市公共资源交易中心,2020/1/15 16:08,|JKQ2019—12|JKQ2019—13,|拉萨经济技术开发区A林琼岗支路以南、拉萨河河堤以西|拉萨经济技术开发区B区拉青西路以西、乃岗路以北,|36800.86|12496.02,|一类工业|二类工业,|50|50,|不小于1.0|不小于1.0,|不小于20%|不小于20%,|不小于30%|不小于30%,,|639|200,|1597.1573|499.8404,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56644,18aec339acb32a609d71094d19027a06
拉文创管挂〔2020〕1号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/1/20 16:08,|2019-2CT07-08|2019-3CT04-101,|宗赞路以西|文成大道以东、宗赞路以西,|4745（其中规划绿地面积167平方米）|15344,|旅游商业用地|商业设施用地,|商业40年|商业40年,|不大于1.5|不大于1.5,|不小于35%|不小于35%,|不大于30%|不大于30%,|不高于25米|不高于25米,|223.9640|1307.3088,|559.9100|3268.2720,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56663,2ea3d970fc77e5a31623702adc226432
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2019〕3号）,拉萨市公共资源交易中心,2019/6/20 16:28,|LSGT2018-38|备 注,|城关区加荣路以北，藏热路以西。|1、建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。,|107812.4平方米（其中地块一建设用地面积79363.95平方米含规划道路面积6021平方米；地块二建设用地面积28448.45平方米，含规划道路面积6614平方米），实际出让面积为95177.4平方米。,|二类居住用地,|70年,|不大于1.8,|不小于35%,|不大于30%,|不高于35米,|342000000,|427251348.6,|100,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55450,0bf03a9f2925303c5d3d1a2900126409
拉经开拍字〔2019〕1号拉萨市国有建设用地使用权拍卖出让公告,拉萨市公共资源交易中心,2019/7/19 11:31,|JKQ2019-10号|JKQ2019-11号,|拉萨经济技术开发区B区拉青路以西、B区北环路以北地块内|拉萨经济技术开发区B区拉青西二路以东、波玛路以南地块内,|32229.95㎡|33435.78㎡,,|70年|40年,|不大于3.5|不大于4.0,|不小于35|不小于25,|不大于20%|不大于40%,|不大于55|不大于55,|4061万元|3026万元,|10152.4343万元|7563.1735万元,|50万元|50万元,：|该宗地为48.34亩。用途为二类居住用地，出让年限为70年。|该宗地为50.15亩。用途为金融保险用地，出让年限为40年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55669,00b1b5fcab20194bfad9f7a31385af58
拉公共经开挂〔2019〕2号 拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/7/19 11:34,|JKQ2019-6|JKQ2019-7|JKQ2019-8|JKQ2019-9,|拉萨经济技术开发区B区柳东路以东、B区北环路以北地块内|拉萨经济技术开发区B区拉青西一路以东、B区南环路以北地块内|拉萨经济技术开发区B区拉青西一路以东、园区南路以北、B区南环路以南地块内|拉萨经济技术开发区B区拉青路以西、园区南路以北、B区南环路以南地块内,|25878.01|22788.59|51531.08|51564.49,|一类工业|二类工业|二类工业|二类工业,|50|50|50|50,|不小于1.0|不小于1.0|不小于1.0|不小于1.0,|不小于20%|不小于20%|不小于20%|不小于20%,|不小于30%|不小于30%|不小于30%|不小于30%,,|442|363|815|815,|1104.9911|906.9859|2035.4777|2036.7974,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55670,1eb28644f2067319a3389a641631c367
（拉公共柳梧国土挂〔2019〕2号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2019/8/14 11:28,|2018-（柳）16号|土地价格|5262500.00元,|柳梧新区北组团北京大道以东、经四路以北|挂牌出让起始价（元）|11807650.00元,,,|商业40年；住宅70年,|不大于4.2,|不小于30%,|不大于40%,|不高于100米,,,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55860,b70d3e39246b4423610192113a2846b1
拉文创管挂〔2019〕5号 西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/8/22 10:02,|2018—10,|文成大道以东、宝瓶路以西CT04-36,|2962,|商业设施用地,|商业40年,|不大于1.5,|不小于35%,|不大于30%,|不高于25米,|263.9720,|659.93,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55913,463776cc6a9579a296940891f6fe251c
当雄县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/9/12 11:57,|DXGT2019-008|DXGT2019-010|DXGT2019-019|DXGT2019-020|备注|2、本公告自2019年9月12日起至2019年10月21日止。挂牌期自2019年10月2日至10月21日下午18：00分止,|当雄县羊八井镇桑巴萨居委会3组|当雄县通站路往火车站方向右侧|当雄县羊八井镇桑巴萨居委会三组|当雄县龙仁乡郭庆村3组|,|1333.34|930.7|6666.7|11310.66,|工业|商业|商业|商业,|50|40|40|40,|不高于2.0|不高于2.0|不高于2.0|不高于2.0,|不低于20%|不低于20%|不低于20%|不低于20%,|不高于60%|不高于60%|不高于60%|不高于60%,,|4.532|11.54|21.33344|36.194112,|11.33|28.85|53.3336|90.48528,,1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56040,0b04ef331fc59995b1e2cff82336549e
拉萨市国有建设用地使用权挂牌出让公告拉公共经开挂〔2019〕3号,拉萨市公共资源交易中心,2019/9/20 16:38,|JKQ2019-8,|拉萨经济技术开发区B区拉青西一路以东、园区南路以北、B区南环路以南地块内,|51531.08,|二类工业,|50,|不小于1.0,|不小于20%,|不小于30%,,|815,|2035.4777,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56076,9f9b8877e87407746445b54b499e3dc0
拉萨市国有建设用地使用权挂牌出让公告（拉公共自然资源挂〔2019〕4号）,拉萨市公共资源交易中心,2019/9/27 18:03,|LSZR2019-4|LSZR2019-5|LSZR2019-6|备 注,|宗地一：城关区北绕城路以北、曲米路以西；宗地二：城关区北绕城路以南、曲米路以东|城关区纳金路以北、东四路两侧|拉萨市滨河路以南五号闸以西|建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。,|宗地一：总面积为24994㎡，扣除规划绿地面积358 ㎡，实际出让面积为24636㎡（合36.95亩）；宗地二：总面积20437㎡（合30.65亩）|40230㎡（合60.3亩）|45580.78㎡（合68.37亩）,|居住用地|居住用地|商业用地,,|不大于2.0|不大于2.5|不大于2.0,|不小于30%|不小于35％|不小于30％,|不大于35%|不大于30％|不大于50％,|宗地一：地块①不高于27米、地块②不高于15米；宗地二：不高于15米|不高于50米|50％建筑不高于12米、30％建筑不高于15米、20％建筑不高于24米,|110000000|165000000|162000000,|138074600|205695990|201779011.4,|100|100|100,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56110,8852397bc24c9d9dd439a784d364c034
拉萨市国有建设用地使用权挂牌出让公告（拉公共自然资源挂〔2019〕5号）,拉萨市公共资源交易中心,2019/10/8 16:44,|LSZR2019-6|备 注,|拉萨市滨河路以南、五号闸以西|建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。,|43580.78㎡（合65.37亩）,|商业用地,,|不大于1.8,|不小于30％,|不大于50％,|50％建筑不高于12米、30％建筑不高于15米、20％建筑不高于24米,|151320000,|189140586,|100,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56141,b6e8128e62b16ae2484e8966e128c639
拉文创管挂〔2020〕2号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/3/26 18:18,|2019-3CT04-101,|文成大道以东、宗赞路以西,|15344,|商业设施用地,|商业40年,|不大于1.5,|不小于35%,|不大于30%,|不高于25米,|1307.3088,|3268.2720,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=57840,05a89ad98775e0c0a21e6ec95af0bbbc
（拉公共柳梧国土挂〔2020〕2号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2020/3/27 11:06,|2019-（柳）4号,|滨河大街以北、南环路以南,|40300m2,|公园配套商业用地,|商业40年,|不大于1.75,,,|不高于15米,|15777450元,|31554900元,|50万元,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=57842,3e8287098088ad1965db662d5232e6e1
（拉公共自然资源挂〔2020〕3号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/3/27 18:35,|LSZR2019-5|LSZR2019-6|LSZR2019-7|备 注,|堆龙德庆区滨河路以北，柳东路以东|堆龙德庆区拉青路与滨河路交叉处|堆龙德庆区滨河路以北，乃加三路以西|建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。三宗土地总起始价为713168583元。本公告自2020年3月27日起至2020年4月15日止。挂牌期自2020年4月16日起至2020年4月25日止。,|114053.6m2（约171.08亩）|33409m2（约50.11亩）|19776m2（约29.66亩）,|居住|商业|商业,|70|40|40,|不大于2.2|不大于4.0|不大于4.0,|不小于30%|不小于25%|不小于25%,|不大于30%|不大于40%|不大于40%,|不高于45米|不高于60米|不高于99米,|427901100,|562284248|95649967|55234368,|100,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=57850,b22dd84f3f19a0e68d4c1d2858b7d678
（拉公共自然资源挂〔2020〕4号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/3/29 16:46,|LSZR2020-3|LSZR2020-4|备 注,|城关区教育城百淀东路以东，集贤路以南|城关区教育城书山路以南，百淀东路以东|建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。两宗土地总起始价为627508012元。本公告自2020年3月29日起至2020年4月17日止。挂牌期自2020年4月18日起至2020年4月27日止。,|143523m2（约215亩）|137908m2（约206.86亩）,|居住|商住混合（居住70%，商业30%）,|70|居住70，商业40,|不大于2.2|不大于2.0,|不小于35%|不小于30%,|不大于25%|不大于35%,|不高于50米|不高于35米,|376500000,|555553134|71954878,|100,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=58850,69f4f92137e7e9b4046167aa7eec4dd4
尼自资挂〔2020〕1号尼木县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/3/30 10:48,|2020-01,|尼木县吞巴镇吞达村,|81788.41,|工业物流仓储用地,|50,|不高于0.8,|不低于15%,|不高于40%,,|230.6433,|1153.2166,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=58858,ce547ec095c50452f773b4877400c797
拉文创管挂〔2020〕3号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/4/30 16:51,|2019-4CT04-101,|文成大道以东、宗赞路以西,|40000,|商业设施用地,|商业40年,|不大于1.5,|不小于35%,|不大于30%,|不高于25米,|3396.80,|8492.00,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=59035,92017506109c944fc79ccfb6c9876bcc
（当公共国土挂〔2019〕1号）当雄县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/3/7 10:40,|DXGT2019-001|DXGT2019-002|DXGT2019-003|DXGT2019-004|备注|2、本公告自2019年3月7日起至2019年4月15日止。挂牌期自2019年3月27日至4月15日下午18：00分止,|当雄县冻精站院内|青藏铁路南侧、110千伏变电站北侧|当雄县乌玛塘乡纳龙村四组|当雄县境内八个乡镇|1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,|32566.83|20000|117.34|7780,|工业|工业|工业|商业,|50|50|50|40,|不高于2.0|不高于2.0|不高于2.0|不高于0.8,|不低于20%|不低于20%|不低于20%|不低于20%,|不高于60%|不高于60%|不高于60%|不高于80%,,|178.4662284|64|0.35202|31.12,|446.165571|160|0.88005|77.8,,1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54711,b5d7195f43778d600262666f58ab3f8c
拉文创管挂〔2018〕7 号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/9/21 12:01,|2018-2|2018-3,|望圣路以东、宗赞路以西CT07-32|望圣路以东CT07-18,|26961|5360,|旅游商业用地|旅游商业用地,|40年|40年,|不大于1.8|不大于1.5,|不小于35%|不小于35%,|不大于35%|不大于30%,|不大于32米|不大于25米,|1263.9320|237.9840,|3159.8300|594.9600,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51900,6d8c644f4d93657d27fbb402a503c87a
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2018〕1号）,拉萨市公共资源交易中心,2018/6/15 17:51,|LSGT2018-6号|4180|LSGT2018-8号|11146|LSGT2018-9号|6837|LSGT2018-12号|LSGT2018-13号|LSGT2018-35号|LSGT2018-36号|备注,|东嘎东路以南、拉青路以东|商业|东嘎东路以南、拉青路以东|商业|拉青路以东、滨河北路以北|商业|滨河北路以北、乃加三路以西|滨河北路以北、乃加三路以东、新村路以南|城关区教育城学子大道以东、丹翔路以北|城关区教育城圣陶南路以东、百淀大道以南|,|9554|25818|3.0|16223|3.0|31134|66144|5999|7810,|商业（兼容商务用地）|居住|40%|居住|40%|居住|居住|其他服务设施用地|其他服务设施用地,,|4.0|2.0|25%|2.0|25%|2.0|2.0|1.5|1.0,|25%|30%|30%|30%|30%|30%|30%,|40%|30%|40|30%|40|30%|30%|35%|35%,|60米|60米|60米|55米|55米|24米|  12米,|24061968|54406464|33950800|46053413|96570240|5498840|6872800,|30077460|68008080|42438500|57566766|120712800|6873550|8591000,|50|50|50|50|100|50|50,1、建筑退让、建筑间距等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50276,4139fb3714e5538eb75d1b5b8570457c
拉文创管挂〔2018〕5号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/6/21 17:49,|2017-16|1 其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行,|灵望路以北 馨园路以南CT05-19,|33413,|旅游酒店用地,|40年,|不大于2.0,|不小于35%,|不大于35%,|不大于50米,|1808.3116,|4520.7789,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50312,04a9fe5416afbfcfc9490981353b9c3c
（拉公共国土挂〔2018〕2号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/6/23 9:00,|LSGT2018-4号|LSGT2018-10号|LSGT2018-11号|备注,|堆龙德庆区滨河北路以南、堆龙河以北|东嘎一路路以南、乃加三路以西、新村路以北|新村路以北、乃加三路以西|,|41364|11418|33342,|商业（兼容商务用地）|商业（兼容商务用地）|居住,,|3.0|3.5|2.0,|25%|25%|30%,|40%|40%|30%,|60米|55米|45米,|69855523|18515429|49879632,|87319404|23144286|62349540,|50|50|50,1、建筑退让、建筑间距等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50322,59374de9f9d21c9f9eb3ff00ac6160c7
（当公共国土挂〔2018〕2号）当雄县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/6/25 12:15,|DXGT2018-002|备注|2、本公告自2018年6月25日起至2018年8月3日止。挂牌期自2018年7日15日至8月3日下午18：00分止,|当雄县格达乡羊易村2组|1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,|53026.932,|工业,|50,|不高于1.0,|不低于30%,|不高于50%,,|101.81170944,|254.5292736,,1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50329,5e8fab771ee15fecc426d408e07aff05
拉萨市国有建设用地使用权拍卖出让公告拉经开拍字〔2018〕2号,拉萨市公共资源交易中心,2018/7/20 17:27,|JKQ2018-9号,|拉萨经济技术开发区B区乃岗路以北、拉青东一路以东地块内,|18617.76㎡,,|40年,|不大于2.8,|不小于25,|不大于50%,|不大于36,|1042万元,|2605万元,|50万元,：|该宗地为27.93亩。用途为商业，出让年限为40年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51523,68be54eb698f55104605b0a8f26002fc
拉文创管挂〔2018〕6号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/7/26 15:53,|2018-1|2018-4,|文成大道以西 云天路交叉路口西北侧CT03-30|望圣路以东、宗赞路以西CT07-21,|29884|4782,|商住混合用地|旅游商业用地,|商业:40年住宅:70年|40年,|不大于2.5|不大于1.5,|不小于35%|不小于35%,|不大于40%|不大于30%,|不大于50米|不大于25米,|2626.2059|147.8594,|6565.5148|369.6486,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51563,2f6c8cc87688a0d04ffe7886c8dcbf0b
拉公共经开挂〔2018〕2号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/8/10 17:07,|JKQ2018-10|JKQ2018-11|JKQ2018-12|JKQ2018-15,|拉萨经济技术开发区B区拉青路以东、B区南环路以南地块内|拉萨经济技术开发区B区园区南路以北、龙峰生物公司用地以西|拉萨经济技术开发区B区拉青路以西、南环路以北地块内|拉萨经济技术开发区A区维色路以西、广州路以南、塔杰路以北地块内,|13287.5|11241.38|13113.55|37637.77,|工业|工业|工业|工业,|50|50|50|50,|不小于1.0|不大于1.0|1.0|不小于1.0,|不小于20%|不小于20%|不小于20%|不小于20%,|不小于30%|不大于30%|不小于30%|不小于30%,,|209|177|207|654,|522.1988|441.7863|515.3626|1633.2827,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51678,e15538cf75b293903cff2cea85d1f769
拉萨市国有建设用地使用权拍卖出让公告拉经开拍字〔2018〕3号,拉萨市公共资源交易中心,2018/8/10 17:08,|JKQ2018-13号|JKQ2018-14号,|拉萨经济技术开发区B区波玛路以南、柳东路以东地块内|拉萨经济技术开发区A区维色路以东、广州路以北地块内,|35847.72㎡|16580.23㎡,,|40年|40年,|不大于4.0|不大于2.8,|不低于25|不小于25,|不大于40%|不大于50%,|不大于55|不大于36,|3514万元|1211万元,|8785万元|3026万元,|50万元|备注：,：|该宗地为53.77亩。用途为零售商业，出让年限为40年。|该宗地为24.87亩。用途为零售商业，出让年限为40年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51679,50ad7ac74a7524f89a72b655d7c4e942
（拉公共国土挂〔2018〕3号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/9/5 18:46,|LSGT2018-37号|备注,|城关区江苏大道以南、热噶曲果路以西|建筑退让、建筑间距绿地面积等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。科研用地地上项目建成后不得分割销售，100%自用。本宗地使用权年限为50年，在使用权年限内，禁止变更用地性质。,|23333(其中规划绿地面积2273),|科研用地,,|2.5,|35%,|35%,|40米,|22586344,|28232930,|100,建筑退让、建筑间距绿地面积等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51800,8ab8876c638fc278cf742fba3d7649b2
拉萨市国有建设用地使用权公开出让公告（拉公共柳梧国土挂〔2018〕2号）,拉萨市公共资源交易中心,2018/9/12 18:07,|2018-（柳）8号|土地价格|7160000.51元,|柳梧新区团结大街以南、察古大道以东|挂牌出让起始价（元）|17305128.83元,,,|40年,|不大于1.2,|不小于30%,|不大于40%,|不高于15米,,,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51843,da771ffa2fef3470b96af4ff764bbff9
拉文创管挂〔2018〕8号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/9/26 16:02,|2018-1,|文成大道以西 云天路北侧CT03-30,|22346,|商住混合用地,|商业:40年住宅:70年,|不大于2.5,|不小于35%,|不大于40%,|地块一:不高于50米地块二：不高于25米,|1963.76648,|4909.4162,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51920,0031ee9411021ddf2f06fe99bc57ef31
拉经开拍字〔2018〕4号拉萨市国有建设用地使用权拍卖出让公告,拉萨市公共资源交易中心,2018/9/30 10:20,|JKQ2018-13号,|拉萨经济技术开发区B区波玛路以南、柳东路以东地块内,|35847.72㎡,,|40年,|不大于4.0,|不低于25,|不大于40%,|不大于55,|3514万元,|8785万元,|50万元,：|该宗地为53.77亩。用途为零售商业，出让年限为40年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51949,5ae00f69346c0ab307dead735b6faecf
拉文创管挂〔2018〕9号 西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/10/18 17:15,|2018-5|2018-6|2018-7|2018-8,|云天路以南、 林卡路以东CT04-116|望圣路以西CT07-60|望圣路以西CT07-58|灵居路以北、花园路以西CT05-14,|14001|50678|47791|62739,|旅游休闲用地|旅游休闲用地|旅游休闲用地|旅游文化设施用地,|商业:40年|商业:40年|商业:40年|商业:40年,|不大于0.5|不大于0.8|不大于1.5|不大于2.0,|不小于50%|不小于50%|不小于50%|不小于35%,|不大于20%|不大于30%|不大于30%|不大于35%,|不高于25米|不高于15米|不高于15米|不高于50米,|1032.8258|2215.9240|2278.5800|4572.4000,|2582.06442|5539.8100|5696.4500|11431.0000,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=52041,0e994993e37ccf0be8ea9890c9c265ef
拉萨市国有建设用地使用权拍卖出让公告 拉经开拍字〔2018〕5号,拉萨市公共资源交易中心,2018/10/31 11:47,|JKQ2018-16号,|拉萨经济技术开发区B区乃岗路以南、柳东路以东地块内,|29067.62㎡,,|70年,|不大于3.5,|不低于35,|不大于20,|不大于55,|2547万元,|6365.8万元,|50万元,：|该宗地为43.6亩。用途为居住用地，出让年限为70年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=52099,244d5e595c00f89e4dc7aa0747f3a2f9
拉萨市国有建设用地使用权拍卖出让公告 拉经开拍字〔2018〕6号,拉萨市公共资源交易中心,2018/10/31 15:08,|JKQ2018-13号,|拉萨经济技术开发区B区波玛路以南、柳东路以东地块内,|35847.72㎡,,|40年,|不大于4.0,|不低于25,|不大于40%,|不大于55,|3514万元,|8785万元,|50万元,：|该宗地为53.77亩。用途为零售商业，出让年限为40年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=52101,35bfbd37b79d273ed37609ff81aa40f3
尼国土挂〔2018〕2号尼木县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/11/29 15:43,|2018-002,|尼木县麻江乡达琼村,|3999.96,|批发零售（加油站）,|40,|不高于0.8,|不低于15%,|不高于40%,,|20,|91.99908,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=53568,304a53d28aba618ab1f614bb3b4178af
