文件标题,来源,更新时间,公告时间,公告媒体,公告号,出让方式,成交时间,成交地点,地块编号,地块位置,土地用途,挂牌起始价,竞得单位,成交金额,爬取地址url,唯一标识,
JKQ2017-5号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕2号),,文章来自：拉萨市公共资源交易中心,|2017年5月16日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕2号,| 挂牌,| 2017年6月26日,|拉萨市公共资源交易中心,| JKQ2017-5,|拉萨经济技术开发区A区林琼岗路以北、拉贡公路以东地块内,| 商业(加油加气站用地),|776.2434,|昆仑能源西藏有限公司,|776.3,2020-05-06 14:48:45,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=43722,95e9e7a31042daec2b95cbf158c8a817,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕2号),,文章来自：拉萨市公共资源交易中心,|2017年5月9日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕1号,|挂牌,|2017年6月19日,|拉萨市公共资源交易中心,|LSGT2017-7,|城关区东三路以东，学府路以北，会展路以西。,|商业用地,|48514522,|拉萨市城市房地产开发有限公司,|91514522,2020-05-06 14:48:46,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=43742,caffec885efb4210b8d00b3c0e195b65,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕2号),,文章来自：拉萨市公共资源交易中心,|2017年5月9日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕1号,|挂牌,|2017年6月19日,|拉萨市公共资源交易中心,|LSGT2017-8,|城关区会展路以南，学府路以北，滨河路以西。,|居住用地,|94400434,|拉萨市城市房地产开发有限公司,|178900434,2020-05-06 14:48:46,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=43742,caffec885efb4210b8d00b3c0e195b65,
2016-（柳）11号国有建设用地使用权挂牌出让结果公示                          （拉公..,,文章来自：拉萨市公共资源交易中心,|2017年5月10日,|拉萨市公共资源交易信息网,|拉公共柳梧国土挂﹝2017﹞3号）,|挂牌,|2017年6月19日,|拉萨市公共资源交易中心,|2016-（柳）11号,|柳梧新区北组团察古大道以西，团结大街以南,|商住混合用地用地,,,|2533446元,2020-05-06 14:48:47,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44643,3c0015eb9c9ce72a2e852f85fc63c8d7,
2017—10号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕2号),,文章来自：拉萨市公共资源交易中心,|2017年6月5日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕2号,|挂牌,|2017年7月14日,|拉萨市公共资源交易中心,|LSGT2017-10,|城关区东三路以东，学府路以南，区教育厅北侧。,|商住用地,|28500060,|拉萨京藏交流中心有限责任公司,|28500060,2020-05-06 14:48:48,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44658,10105ed358ebc2a5cbc742c3bbbb9801,
(拉公共国土挂〔2017〕3号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2017年7月4日,|拉萨市公共资源交易信息网,|《拉公共国土挂〔2017〕3号》《拉萨市国有建设用地使用权挂牌出让补充公告》,|挂牌,|2017年8月9日,|拉萨市国土资源局,|LSGT2017-1,|城关区藏热南路以东，滨河路以北，贡布堂路以南。,|商务用地,|8730159,|西藏德桑林商贸有限公司,|8730159,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44964,c1c2b54fa112ea98ca67a5240a097648,
(拉公共国土挂〔2017〕3号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2017年7月4日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕3号,|挂牌,|2017年8月6日,|拉萨市国土资源局,|LSGT2017-2,|城关区藏热路以西，当热路以南。,|居住用地,|17236152,|西藏望天房地产开发有限公司,|17236152,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44964,c1c2b54fa112ea98ca67a5240a097648,
(拉公共国土挂〔2017〕3号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2017年7月4日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕3号,|挂牌,|2017年8月6日,|拉萨市国土资源局,|LSGT2017-4,|教育城集贤路以南、丹墨路以东、书山路以北、百淀东路以西。,|居住用地,|42298388,|林芝市城市投资有限责任公司,|42298388,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44964,c1c2b54fa112ea98ca67a5240a097648,
(拉公共国土挂〔2017〕3号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2017年7月4日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕3号,|挂牌,|2017年8月6日,|拉萨市国土资源局,|LSGT2017-6,|城关区纳金路以南，西三路以西。,|二类居住用地,|9094800,|西藏悟孜商贸有限公司,|9094800,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44964,c1c2b54fa112ea98ca67a5240a097648,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-8,|拉萨经济技术开发区B区园区南路以北、拉青路以西、B区南环路以南地块内,| 工业,|3916.99,|拉萨经济技术开发区投资发展有限公司,|3917,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-9,|拉萨经济技术开发区B区柳东路以东、B区北环路以南地块内,| 工业,|747.4741,|西藏柒柒柒文化产业有限公司,|747.5777,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-10,|拉萨经济技术开发区B区柳东路以东、乃岗路以北地块内,| 工业,|1152.0058,|西藏龙廷钢架材料安装有限公司,|1152.08,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-11,|拉萨经济技术开发区B区北环路以南、拉青西二路以西地块内,| 商业,|787.3893,|西藏中保强盾保安服务有限公司,|788,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
