administration,parcelLocation,totalArea,landPurpose,signTime,projectName,projectLocation,area,landSource,supplyType,landUsegeTerm,classification,landLevel,transferPrice,issue,paymentDate,paymentAmount,remark,landHolder,plotRatioUP,plotRatioLOWER,agreedDeliveryTime,agreedStartTime,agreedCompletionTime,actualStartTime,actualCompletionTime,approvedUnit,contractTime,crawlingTime,url,md5Mark,
珠海市本级,保税区宝顺路北侧、宝吉路东侧,1.496476,商务金融用地,2017-05-31,保税区宝顺路北侧、宝吉路东侧商务、商业用地,保税区宝顺路北侧、宝吉路东侧,1.496476,新增建设用地,挂牌出让,40,房地产业,房地产业土地级别：四级,11073.9224,1|2|,2017-06-30|2017-07-30,6644.3535|4429.5689|,  ,珠海海威实业有限公司,,4,2017-07-05,2019-12-07,2024-12-07,2019-12-06,,珠海市人民政府,2017-05-31,2020-04-15 11:55:39,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922929084&__boxModel__=true&op=page_content&sessionID=53019&pn=1,9ab8739a3c651c1dcde8f7b91e88706e,
广州市本级,花山镇东华村、洛场村,0.6275,公路用地,2017-10-23,一类工业用地（花都G08-HS(02-2)地块）,花山镇东华村、洛场村,0.6275,新增建设用地,划拨,,道路运输业,道路运输业土地级别：九级,,,,,,广州市交通委员会,,,,,,,,广州市人民政府,2017-10-23,2020-04-15 11:55:39,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922929607&__boxModel__=true&op=page_content&sessionID=24212&pn=1,a27249ff1aff25c84c7a65220485de87,
广州市本级,花都区赤坭镇三经路以东,0.8612,公路用地,2017-10-23,一类工业用地（花都G07-CN01-6地块）,花都区赤坭镇三经路以东,0.8612,新增建设用地,划拨,,道路运输业,道路运输业土地级别：九级,,,,,,广州市交通委员会,,,,,,,,广州市人民政府,2017-10-23,2020-04-15 11:55:40,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922930125&__boxModel__=true&op=page_content&sessionID=78452&pn=1,51e57c967ec9e5202a90013c74b91141,
五华县, 水寨镇县经济开发区工业三路,2.246652,工业用地,2015-07-08,梅州市华炜金属配件有限公司,水寨镇县经济开发区工业三路,2.246652,新增建设用地,拍卖出让,50,汽车制造,汽车制造土地级别：十二级,286.14,1|,2015-07-09,286.14|, ,梅州市华炜金属配件有限公司,,1.8,2015-10-08,2016-10-08,2019-10-08,2016-10-08,2019-10-08,五华县人民政府,2015-07-08,2020-04-15 11:55:42,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922933061&__boxModel__=true&op=page_content&sessionID=17484&pn=1,470f7029a2a13e0de8cfa743bc1071da,
南雄市,南雄市珠玑镇三叉路口金友集团北面地块-JY-02-02号用地,0.668766,工业用地,2018-12-29,南雄市粤友粮农业产业有限公司,南雄市珠玑镇三叉路口金友集团北面地块-JY-02-02号用地,0.668766,新增建设用地,挂牌出让,50,农副食品加工业,农副食品加工业土地级别：未评估地区,88,1|,2019-01-28,88|, ,南雄市粤友粮农业产业有限公司,1,2,2019-02-27,2020-02-27,2023-02-27,,,南雄市人民政府,2018-12-29,2020-04-15 11:55:43,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922933731&__boxModel__=true&op=page_content&sessionID=72510&pn=1,d608a07d864739b71ed9d7c4e86bfa95,
高要市,肇庆市高要区金利镇北区地段,0.63227,公路用地,2017-06-01,道路,肇庆市高要区金利镇北区地段,0.63227,新增建设用地,划拨,,群众团体、社会团体和宗教组织,群众团体、社会团体和宗教组织土地级别：五级,,,,,,肇庆市高要区金淘工业园开发建设有限公司,,,2017-06-01,2018-05-31,2019-05-31,,,肇庆市高要区人民政府,2017-06-01,2020-04-15 11:55:44,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922934181&__boxModel__=true&op=page_content&sessionID=41512&pn=1,831779a9331b7694bf9881d75301ef95,
香洲区,保税区南湾大道南侧、宝珠路西侧,0.127196,公共设施用地,2017-12-13,珠海保税区二号开关站土建工程,保税区南湾大道南侧、宝珠路西侧,0.127196,新增建设用地,划拨,,国家机构,国家机构土地级别：三级,,,,,,珠海保税区管理委员会,,,2017-12-13,2018-12-13,2020-12-13,2018-03-27,2019-11-29,珠海市人民政府,2017-12-13,2020-04-15 11:55:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922936069&__boxModel__=true&op=page_content&sessionID=53232&pn=1,b63d96842e466ca5f7745f7a6fc28f9a,
封开县,封开县江口镇贺江二路,0.040381,其他普通商品住房用地,2017-12-12,封开县枫华粤江房地产有限公司商住项目用地,封开县江口镇贺江二路,0.040381,现有建设用地,挂牌出让,其他普通商品住房用地70年; 批发零售用地40,房地产业,房地产业土地级别：一级,89,1|,2018-01-11,89|, ,封开县枫华粤江房地产有限公司,1,3.5,2018-10-31,2019-10-30,2022-10-29,,,封开县人民政府,2017-12-12,2020-04-15 11:55:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922936781&__boxModel__=true&op=page_content&sessionID=96774&pn=1,59b7cdbf56e33f183760bfc902bd40cf,
肇庆市本级,端州区厚岗三路1号南楼203房,0.000791,其他普通商品住房用地,2017-12-12,钟叙棠,端州区厚岗三路1号南楼203房,0.000791,现有建设用地,协议出让,70,房地产业,房地产业土地级别：三级,0.4109,1|,2017-12-12,0.4109|, ,钟叙棠,,,2017-12-12,,,,,肇庆市人民政府,2017-12-12,2020-04-15 11:55:47,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922937461&__boxModel__=true&op=page_content&sessionID=26865&pn=1,924e7450660c8fdc31ff2cf3ca6f6eaa,
江门市本级,蓬江区天河西路93号,0.019234,工业用地,2017-12-12,江门市工业资产经营有限公司,蓬江区天河西路93号,0.019234,现有建设用地,协议出让,50,皮革、毛皮、羽毛（绒）及其制造业,皮革、毛皮、羽毛（绒）及其制造业土地级别：一级,4.744,1|,2018-01-11,4.744|, ,江门市工业资产经营有限公司,,,2017-12-12,,,,,江门市人民政府,2017-12-12,2020-04-15 11:55:50,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922940397&__boxModel__=true&op=page_content&sessionID=50897&pn=1,9e9bcbc6f75ea7bce57b6d6f0a48dcff,
